Phone Name,Review,Sentiment
iphone 15,"So beautiful, so elegant, just a vowww😍❤️READ MORE",Positive
iphone 15,Just go for it.Amazing one.Beautiful camera with super fast processorREAD MORE,Positive
iphone 15,High quality camera😍READ MORE,Positive
iphone 15,Very niceREAD MORE,Positive
iphone 15,"Just loved the product , colour , design is wow and camera is amazing , just clicked first picture of my grandmother 👵🏻  in portrait mode and results r here in front of you guys 😍😘READ MORE",Positive
iphone 15,Camera Quality Is Improved Loving ItREAD MORE,Positive
iphone 15,Awesome photography experience. Battery backup is good . Display is much better than 14 version.READ MORE,Positive
iphone 15,Best mobile phoneCamera quality is very nice Battery backup is very good Sound quality is amazing.READ MORE,Positive
iphone 15,Switch from OnePlus to iPhone I am stunned with camera performance. Everything is perfect on  iPhone 15.READ MORE,Positive
iphone 15,Totally happy!Camera 5Battery 5 Display 5Design 5READ MORE,Positive
iphone 15,Nice ❤️READ MORE,Positive
iphone 15,"Awesome product very happy to hold this. Better In hand feel,matte finish. Good camera, Brighter screen with Dynamic Island, USB-C, great battery life.60Hz display is a dealbreaker for some.Its not much noticeable.Thank u Flipkart for the best deal and quick delivery.READ MORE",Positive
iphone 15,I love this phone. The camera is amazing: its I am so happyREAD MORE,Positive
iphone 15,Great!READ MORE,Positive
iphone 15,Simply premium.READ MORE,Positive
iphone 15,for me its 10 out of 10✨READ MORE,Positive
iphone 15,Awesome 🔥🔥☺️READ MORE,Positive
iphone 15,best camera and battery is also very good In love with dynamic Island Type-c charging is very fast. Overall best phoneREAD MORE,Positive
iphone 15,Awesome camra quality superb camra 😊READ MORE,Positive
iphone 15,Nice productREAD MORE,Positive
iphone 15,Simply Awesome 🤩READ MORE,Positive
iphone 15,A Perfect Smartphone 😍❤️👌👌READ MORE,Positive
iphone 15,This is my first iphone ever used loving it already this is worth it 🥰READ MORE,Positive
iphone 15,Nice 🙂🙂🙂🙂🙂READ MORE,Positive
iphone 15,Camera is just wow. All classes clicks are done at night....phone Performance is awesome.... I'm writing now again for review...it's really maintained its premium imageREAD MORE,Positive
iphone 15,Their is nothing to explain about Apple iPhone nowadays everyone knows when ur comes to iPhone 15 is just amazing 🔥READ MORE,Positive
iphone 15,"The iPhone 15 exceeded my expectations in every way possible. The sleek design, stunning display, and lightning-fast performance make it a standout device in the smartphone market. The camera quality is unparalleled, capturing every moment with incredible detail and clarity. Plus, the battery life is impressive, easily lasting me throughout the day. With the added bonus of a great deal and discount, purchasing the iPhone 15 from Flipkart was an absolute steal.READ MORE",Positive
iphone 15,Awesome phone powerful performance and battery backup are also very good no heating issue ☺️READ MORE,Positive
iphone 15,moving from android to apple is a surreal experience. still apple could focus on more flexibility towards the apps.READ MORE,Positive
iphone 15,Awesome quality I am very happy. Thank you Flipkart.READ MORE,Positive
iphone 15,Camera 🔥READ MORE,Positive
iphone 15,Thanks Flipkart I m glad such a beautiful iPhone 15READ MORE,Positive
iphone 15,48 megapixel is lit🔥Thin bessels compared to 14Lesser in weightDynamic Island works perfectlyGood battery backup ⚡My rating 5/5READ MORE,Positive
iphone 15,Using this Iphone 15 from 1month and it has best CameraREAD MORE,Positive
iphone 15,Nice phone goodREAD MORE,Positive
iphone 15,Simply wow wow wow 😍❤️READ MORE,Positive
iphone 15,It looks so good in my hand !.......WAU?READ MORE,Positive
iphone 15,It's performance is super and nice camera also a ok battery backup..READ MORE,Positive
iphone 15,Absolutely premium product..just wowREAD MORE,Positive
iphone 15,A perfect n balanced phone ❣️. Was thinking of switching to ios from last two years and yeah its worth buying the black beauty 🖤.READ MORE,Positive
iphone 15,AwesomeREAD MORE,Positive
iphone 15,Very nice product☺️☺️we loved the phone very muchREAD MORE,Positive
iphone 15,Such a amazing phone 🫶🏻READ MORE,Positive
iphone 15,"Great Experience Flipkart I am giving 10 of 10 Camera, Sound, Screen... Transportation Mi note 9 pro Max to Iphone 15 .READ MORE",Positive
iphone 15,Best for regular usageREAD MORE,Positive
iphone 15,I was sceptical of online purchase but I was wrong I got what I ordered Best phone everREAD MORE,Positive
iphone 15,Camera quality top notch 👍READ MORE,Positive
iphone 15,"Just upgraded from iphone 12 to 15 and I totally loved this 15 series.Camera:- No doubt iphones camera are best of any other smartphone, primary camera is now 48mp which gives quite sharp images, 2x in portrait mode is definitely a game changer in base varient.Battery:- 3349 mAH is quite better as compared to older versions.Performance:- Apple improve performance by introducing A-16 bionic chip, no doubt performance is on top.Display:- In display we get dynamic island which gives phone mo...READ MORE",Positive
iphone 15,Pic Quality AwesomeREAD MORE,Positive
iphone 15,Awesome...READ MORE,Positive
iphone 15,Absolutely gorgeous 😻READ MORE,Positive
iphone 15,Camera is good but not too good like other camera phone.Performance is good but missed 90hz display.Battery is good enough for a day use.Sound is quite awesome like no other phonesRest phone is good to go for.READ MORE,Positive
iphone 15,Nice 👌READ MORE,Positive
iphone 15,Super Good ProductREAD MORE,Positive
iphone 15,It's amazing nd also the delivery boy was very humble.READ MORE,Positive
iphone 15,Best in class..! Superb camera and performance. Fine grip.READ MORE,Positive
iphone 15,Loved this product ❤️❤️READ MORE,Positive
iphone 15,awesome camera looks like Captured DSLR quality Sounds quality bestBattery backup is good not better and bestAbout performance i have no wordsREAD MORE,Positive
iphone 15,Really its the best and richest design 😍READ MORE,Positive
iphone 15,"Just ok like any other premium android phone. Sound is just fantastic and face unlock feature is more convenient than fingerprint scanner. Battery backup is more than android 5000 mah battery. This is my frist iPhone, migrated from android due to chipset heating problem in Google tensor chip and Samsung exonys processsor.READ MORE",Positive
iphone 15,Camera is so goodREAD MORE,Positive
iphone 15,I have been using this phone since two months.And this phone is amazing.  Camera- 10/10Display- 10/10Performance- 10/10Battery- 9.5/10READ MORE,Positive
iphone 15,Switch from android to iPhone😍Just wow. Camera and battery backup is outstanding for daily useREAD MORE,Positive
iphone 15,Writing this review after extensive usage. Hope it helps interested buyers decide.1. Display:- 4/5 (Great display but limited to 60Hz in 2023-24)2. Camera:- 4/5 (Great cameras but no telephoto at this price segment but this time Apple really nailed it with the 15 series 24mp shots are very sharp and detailed)3. Performance:- 5/5 (One of the fastest SOC available right now)4. Battery:- 3/5 (Average battery life also charger not included in the box and still charges slowly with the 20w bric...READ MORE,Positive
iphone 15,"This mobile is phenomenal, I like the camera mostREAD MORE",Positive
iphone 15,Love the performance 👍READ MORE,Positive
iphone 15,NiceREAD MORE,Positive
iphone 15,As Expected 🤣😂🫣READ MORE,Positive
iphone 15,The camera quality is just awesome ..just like DSLRREAD MORE,Positive
iphone 15,"Coming from an iPhone 11, the upgrade is not completely unnecessary. I can see few daily improvements which impacts me personally. The battery back up is a good upgrade. The cameras are obviously better. The Dynamic Island is alright but not something I cannot live without. Face ID works smoother. I am not into games, so no comments on that. For a regular person, this phone is more than enough. And for people with other Apple devices, this is just an awesome part of the ecosystem.READ MORE",Positive
iphone 15,Light weight phone. Camera and sound is fine and performance is highly appreciable.READ MORE,Positive
iphone 15,Mobile battery consumption very fastSo that I charge 3 times to charge in a dayREAD MORE,Positive
iphone 15,Everything lovely Just for the first time u wont feel much difference b/w pro and non pro model iphones.READ MORE,Positive
iphone 15,I upgraded from iPhone 13 to 15 and this phone is awesome worth the money go for itREAD MORE,Positive
iphone 15,Awesome phone ❤️READ MORE,Positive
iphone 15,Nice device!READ MORE,Positive
iphone 15,"Battery is worst!I am moving from android, so i feel my 20k android phone is better than this iphone. Although i brought this for apple ecosystem!READ MORE",Positive
iphone 15,Coming from iphone 12 mini.Camera is definitely a upgrade over the previous generation.Design outside remains the same. Pastel colours with matte finish.The Dynamic Island is what i liked for the notification part.Processor of previous generation pro models.Overall a value for money among the 15 models.Got it a great deal in flipkart clubbing exchange and bank offers.Delivery was on time.READ MORE,Positive
iphone 15,Awasome Phone Awasome Camera🐼........Rest is History DuduREAD MORE,Positive
iphone 15,Superb... Shifted from Android to iPhone 15..classs👍READ MORE,Positive
iphone 15,Nice Product Thanks for Flipkart Camera 10/10Battery 8/10Display 10/10READ MORE,Positive
iphone 15,I order smartphone from Flipkart. This is my 4th phone i order. I have had the best experience every time.READ MORE,Positive
iphone 15,"Great phone except the battery, which isn't bad as well. Just not as good as other flagshipsREAD MORE",Positive
iphone 15,Very nice product 👌👌👌👌👌READ MORE,Positive
iphone 15,Loved it 🥰READ MORE,Positive
iphone 15,Amazing one_____😍😘✌️READ MORE,Positive
iphone 15,Performance superREAD MORE,Positive
iphone 15,SuperREAD MORE,Positive
iphone 15,Only 90fps is need And best phone of the year goes to this phoneREAD MORE,Positive
iphone 15,A fantastic product. I was an iPhone 13 user I have upgraded to this. Brilliant display. I can see a great difference in battery backup. I can also say that the Dynamic Island helps in UI to the users. Looks premium. Price range might drop in a year. Thanks for Flipkart sale days.READ MORE,Positive
iphone 15,Overall sameREAD MORE,Positive
iphone 15,Nice one 🫶READ MORE,Positive
iphone 15,Amazing product❤️❤️Best iPhone out of all the iPhone seriesREAD MORE,Positive
iphone 15,Awesome😍switch from android to iOSREAD MORE,Positive
iphone 15,"This is an amazing phone and back side of phone is frozen glass which makes it less prone to finger marks while holding. Till now enjoying it, will update with further details after a week.READ MORE",Positive
iphone 15,Nice ColourREAD MORE,Positive
iphone 15,Fully satisfied 👍🏻READ MORE,Positive
iphone 15,"Upgraded from iPhone 11, The camera quality is awesomeThe display quality is great and the dynamic island working perfectlyHappy with Apple and FlipkartREAD MORE",Positive
iphone 15,v v goodREAD MORE,Positive
iphone 15,Not giving a fast refresh rate is really a bad idea.Shame on you apple...with this range of phone this kind of average feature should have been given.READ MORE,Positive
iphone 15,Design n Build Quality is Best in Class.Performance is amazing.Camera is Good.READ MORE,Positive
iphone 15,Coming from iphone 12 mini.Camera is definitely a upgrade over the previous generation.Design outside remains the same. Pastel colours with matte finish.The Dynamic Island is what i liked for the notification part.Processor of previous generation pro models.Overall a value for money among the 15 models.Got it a great deal in flipkart clubbing exchange and bank offers.Delivery was on time.READ MORE,Positive
iphone 15,Not giving a fast refresh rate is really a bad idea.Shame on you apple...with this range of phone this kind of average feature should have been given.READ MORE,Positive
iphone 15,Overall sameREAD MORE,Positive
iphone 15,Awesome qualityREAD MORE,Positive
iphone 15,"The best part of camera is cinematic video which is fabulous. Rest of the things are good, but cinematic mode is on next level, higher rate is missing which may hurt phone noise cancellation is on. Also next level. Some small small features which make sweet point to use and make it different from android efforts of making iOS and developing some sweet sweet things are appreciable and if you have MacBook or iPad, ecosystem work, fantastically the best things for this iPhone is much much better...READ MORE",Positive
iphone 15,Value for Money ❤️🌸READ MORE,Positive
iphone 15,After 1 month of usage 29 charging cycles done battery drains rapidly and battery health is down to 99 %READ MORE,Positive
iphone 15,Camera quality are too Great Display awesome Battery is average Design is very nice Overall very goodREAD MORE,Positive
iphone 15,-Wonderful performance-Camera quality is superb-battery backup not that good-sound quality is awesomeREAD MORE,Positive
iphone 15,Best photo for iPhone 15READ MORE,Positive
iphone 15,Switched from Redmi 12 5G to Iphone 15 . It feels like I have never used Phone. Totally Worth It and the Feeling of using Iphone is Super Awesome.READ MORE,Positive
iphone 15,Amazing one_____😍😘✌️READ MORE,Positive
iphone 15,Camera is just wow. All classes clicks are done at night....phone Performance is awesome.... I'm writing now again for review...it's really maintained its premium imageREAD MORE,Positive
iphone 15,Best mobile phoneCamera quality is very nice Battery backup is very good Sound quality is amazing.READ MORE,Positive
iphone 15,Overall performance is best.Good aesthetic and nice color. Only thing worries me that it gets really hot with increase of brightness and during 15 min video call..READ MORE,Positive
iphone 15,Everything lovely Just for the first time u wont feel much difference b/w pro and non pro model iphones.READ MORE,Positive
iphone 15,Awesome camra quality superb camra 😊READ MORE,Positive
iphone 15,"Mind blowing purchase, I received the right item. Thank you Flipkart.If telling about iPhone its value for moneyGreat camera and video. 5/5Display 5/5Sound and heroics 5/5 Overall good.READ MORE",Positive
iphone 15,What a phone super performance with light weight. Please find my details review as follows. 1. Camera - camera is super with very gud quality photo even at night as well. 2. Battery - battery backup is fine and will last for one day long. 3. Performance - iphone 15 performance is super. No lagging and no heating issue. Cons-1. Battery could be better at this price range. 2. Face recognition is not good as not always open with face IDREAD MORE,Positive
iphone 15,The best one from apple💙READ MORE,Positive
iphone 15,Very goodREAD MORE,Positive
iphone 15,Awestruck by its performance 👌READ MORE,Positive
iphone 15,First time experiencing I phone. It feels premium and quality is awesome love it ❤️❤️❤️READ MORE,Positive
iphone 15,Camera quality is not good images and videos are not clear.READ MORE,Positive
iphone 15,"Overall, I'm very happy with the phone. It's a great all-around phone with a powerful processor, a long-lasting battery, and a great camera. I would definitely recommend it to anyone looking for a new phone.READ MORE",Positive
iphone 15,I love itREAD MORE,Positive
iphone 15,Amazing. This is my second iphone after 11 pro.Used it for 3 days till now. No heating issue. While setting up the device/updating ios/transferring data - it didn't heat at all. Smooth experience. Best buy for 2024.READ MORE,Positive
iphone 15,Look and design very niceREAD MORE,Positive
iphone 15,Amazing phone But Now days Chapri people Drop apple's brand value.READ MORE,Positive
iphone 15,Pros:1. Incredibly smart device this year2. iOS interface3. Data Privacy4. Premium build quality5. Dynamic Island6. Ecosystem benefits if you own other Apple devices7. Powerful processorCons:1. 60Hz refresh rate for a flagship (although not very noticeable)2. No improvements to Siri3. Expensive4. Low possibility of repairREAD MORE,Positive
iphone 15,Awesome quality I am very happy. Thank you Flipkart.READ MORE,Positive
iphone 15,"Bought it from flipkart, as I was getting the best price here!READ MORE",Positive
iphone 15,"The best in class iphone. Many people may mock iPhone, but everyone have to accept that iPhone has the best in class features and technology. It is obviously not fair to compare iPhone and android because each have its own pros and cons. Seeing the features that iPhone provide at this price point is really of premium level and I am pretty sure you are gonna enjoy using this awesome device.Speaking about specs, iPhone 15 has the best camera till date, the best display, awesome battery managem...READ MORE",Positive
iphone 15,As Expected 🤣😂🫣READ MORE,Positive
iphone 15,It is a really good phone for daily tasks. The cameras are great 48mp photos are very sharp and detailed. You can relay on this phone for 5 years. I have other apple products and the ecosystem is also great. Everything works seamlessly. For those who are switching from android:Battery life is good in this phone but compared to my previous phone which had 4500mAh battery I have to charge this phone 2 times in a day almost after limiting the battery to 80%. Overall it is a great phone the v...READ MORE,Positive
iphone 15,Heating issueREAD MORE,Positive
iphone 15,Excellent!!!READ MORE,Positive
iphone 15,Awesome.Camera too goodDisplay too goodBattery GoodFeels too goodREAD MORE,Positive
iphone 15,HandyREAD MORE,Positive
iphone 15,Very good deal and fastest delivery in next day.READ MORE,Positive
iphone 15,Super Good ProductREAD MORE,Positive
iphone 15,Loved it 🥰READ MORE,Positive
iphone 15,NiceREAD MORE,Positive
iphone 15,Amazing Camera and batteryREAD MORE,Positive
iphone 15,Nice phoneREAD MORE,Positive
iphone 15,My mom giftREAD MORE,Positive
iphone 15,Perfect 👍READ MORE,Positive
iphone 15,supperREAD MORE,Positive
iphone 15,Performance superREAD MORE,Positive
iphone 15,Nice Overall performance. Loved the inhand feel of the device 😍 Amazing camera qualityREAD MORE,Positive
iphone 15,Happy 😊READ MORE,Positive
iphone 15,SuperREAD MORE,Positive
iphone 15,Just wowBuy it nowREAD MORE,Positive
iphone 15,Best phone nice camera and performanceREAD MORE,Positive
iphone 15,Very nice. Awesome phoneREAD MORE,Positive
iphone 15,I phone is phone nothing but it's a brand that makes the cost. Better should be more improved. And it gives heat.READ MORE,Positive
iphone 15,"A Mixed Bag of BrillianceThe iPhone 15 flaunts an impressive camera setup, capturing moments with exceptional clarity and detail. However, users may encounter heating issues post 80% charge, which could disrupt prolonged usage. Occasionally, screen touch glitches may hamper the otherwise seamless user experience. Despite these setbacks, the iPhone 15 excels in performance and features. The standout Dynamic Island feature enhances productivity and personalization. Overall, the iPhone 15 is a...READ MORE",Positive
iphone 15,"Actually phone is very good this is my first iPhone i found heating at back panel at normal usage also, it should be fixed asap because giving 80k for premium feel and still not feels worthy after heating, it gains heat very fast and cools down too but due to heat battery drop is very fast .READ MORE",Positive
iphone 15,Very good productREAD MORE,Positive
iphone 15,Everything is good. Battery backup is hardly 6hrs will come while continuously usage. Camera is fantastic. In this iphone 60 hz refreshing rate is equals to 120hz refresh rate in android. Very light weight.READ MORE,Positive
iphone 15,Awesome buyREAD MORE,Positive
iphone 15,Am a Android User First Time Switching To IOS Really Its Awesome (iphone 15) Camera 5/5Battery 4/5Design 5/5Display 5/5Speaker 5/5READ MORE,Positive
iphone 15,Android is better than iosREAD MORE,Positive
iphone 15,Excellent purchase battery life is good for medium usage but can get you through the whole day on single charge. Am just loving this phoneREAD MORE,Positive
iphone 15,It was on republic sale. I got value for money.Piece is genuine.Camera is best with 48 MP primary lens.Performance is very good.There are some restrictions otherwise it is very good.READ MORE,Positive
iphone 15,The product is very nice just switched from iPhone XR. Was thinking to buy Samsung S24 but happy with this purchase.The camera is awesomeA single charge will last for a dayREAD MORE,Positive
iphone 15,best camera phone 🥰READ MORE,Positive
iphone 15,NiceREAD MORE,Positive
iphone 15,Very nice phone im happy very good 👍READ MORE,Positive
iphone 15,Camera quality SuperbREAD MORE,Positive
iphone 15,I can say the 60hz doesn't feel 60hz it is very smooth and may be because of appleI was too worried about the 60 hz because I was switching from 120hz Android (realme GT master edition) to this one but after using iphone 15 I feel lags in my android 120hzBut I feel camera quality is avg but videography is next level Love the speakerQuality of display is just wowCharging is also quite good and battery backup is also awesomeI am getting 5-6 hr gameplay(free fire+bgmi) from 100% to 25% qui...READ MORE,Positive
iphone 15,Very Best baseline iPhone ever. even if you have a iphone 14 it is still a upgrade. the new frosted glass and rounded edges make it premium feel. camera is just awesome. better than 14 pro camera. battery is just like iphone 14. type c is also a welcome with braided data cabel. just blue colour looks a lot like white.READ MORE,Positive
iphone 15,Very powerful phone. Camera is extremely good if one can adjust the settings. Battery backup is awesome. Design is handy. Features are cool. Price is reasonable.READ MORE,Positive
iphone 15,FantasticREAD MORE,Positive
iphone 15,"Phone is good built lightweight,handy, camera good quality, display great phone is nice if love it's OS and can spend that muchREAD MORE",Positive
iphone 15,Good cameraREAD MORE,Positive
iphone 15,"Very good experience, highly recommended for upgradeREAD MORE",Positive
iphone 15,Pic Quality AwesomeREAD MORE,Positive
iphone 15,"The only thing I like about this phone is the camera quality and that is the reason I bought this phone.I already have an Android phone which is less than 50% of its price and still is better in every aspect except the camera.Well! Definitely, iphone 15 has a flagship level chipset but I am not a gamer and a normal user and I find mid rangers and flagship all perform at similar level in daily tasks.While iphone 15 only has 60hz screen which feels choppy, all other phones have 120-144hz scr...READ MORE",Positive
iphone 15,Not justifying the price .. bit disappointed about the  display (refresh rate should be high).. no differences between 12 and 15 except brightness .. those who willing to upgrade plz be ok with your 13 .. there is very low difference in day to day life use..but the Dynamic Island is awesome it is way better than expected..READ MORE,Positive
iphone 15,Smooth 🔥READ MORE,Positive
iphone 15,Having a great timeREAD MORE,Positive
iphone 15,"High quality camera The iPhone 15 has a new 48-megapixel main camera. The new camera sensor is larger than the one in the iPhone 14, and it has better low-light performance. The iPhone 15 also has a new 12-megapixel ultrawide camera and a new 12-megapixel telephoto camera.READ MORE",Positive
iphone 15,"AFTER ONE WEEK OVERALL PERFOMANCE IS GOOD BUT  FEW APPLE MUST IMPROVE 1. Design very Round on Corner gives a feel of baby Toy, 2. Some thing must improve in iOS 17 its very Classic in this mordern era like Auto Rotate not possible on photos you will have to go home select rotate lock etc.READ MORE",Positive
iphone 15,I Love iPhoneREAD MORE,Positive
iphone 15,NiceREAD MORE,Positive
iphone 15,Loving it!!! Delivery was quick .READ MORE,Positive
iphone 15,Device is getting too hot. It's looking like you have the burning stick.READ MORE,Positive
iphone 15,Awasome Phone Awasome Camera🐼........Rest is History DuduREAD MORE,Positive
iphone 15,Good stuff.. bss thora battery cazual hai 💀READ MORE,Positive
iphone 15,Good mobile but charging is getting down fastttREAD MORE,Positive
iphone 15,All are good 😊READ MORE,Positive
iphone 15,Looking Like Monster 🤍💙READ MORE,Positive
iphone 15,Awesome I switched from Android it's great feeling just go for it 🥰🥰🥰READ MORE,Positive
iphone 15,"Mind-blowing I love it Everything is greatttVery good battery backup, best camera, very good design.Update after using for 1 week: I legit have to charge my phone for 2times in a day else everything is greatREAD MORE",Positive
iphone 15,Very good productREAD MORE,Positive
iphone 15,Good product with good discounts on Flipkart you can buy it through Flipkart easy process easy to buy best offers best price then other offline/online platformREAD MORE,Positive
iphone 15,Superb phone ❤️ I am using last 5 year of iPhoneREAD MORE,Positive
iphone 15,Good cameraREAD MORE,Positive
iphone 15,The colour blue is so good and the battery life is so long as compared to 14 the camera is much better than 14series best phone I experienced very goodREAD MORE,Positive
iphone 15,GoodREAD MORE,Positive
iphone 15,Just wowwww ❤️READ MORE,Positive
iphone 15,Best dealREAD MORE,Positive
iphone 15,"I have recently switched from Android to ios, it does feel very strange at the beginning but now I am getting habitual to the iosIt is really very nice and feels premium. The camera is also very nice. I am fully satisfied with this purchase.READ MORE",Positive
iphone 15,Verrrry good productREAD MORE,Positive
iphone 15,This is adorable   Most important  C type charger  cable I am happy with  iPhones 15 series  ⭐️⭐️⭐️⭐️⭐️READ MORE,Positive
iphone 15,"I am very happy to buy it because its camera is very good and its performance is also very good, its features are also very good and will never make you bored. 😍READ MORE",Positive
iphone 15,Genuine product. Thank you flipkartREAD MORE,Positive
iphone 15,OkREAD MORE,Positive
iphone 15,The iPhone 15 features a 48-megapixel main camera sensorIt is powered by the A16 Bionic SoCThe iPhone 15 now comes with Dynamic IREAD MORE,Positive
iphone 15,Best IphoneREAD MORE,Positive
iphone 15,I lovedREAD MORE,Positive
iphone 15,Nice product but battery issues please solowREAD MORE,Positive
iphone 15,Best dealREAD MORE,Positive
iphone 15,"Good display, improved display brightness, awesome cameraREAD MORE",Positive
iphone 15,Great product:)READ MORE,Positive
iphone 15,Nice ProductREAD MORE,Positive
iphone 15,U all know about iPhone 15 so am very impressed with blue colour damn beautiful ❤️READ MORE,Positive
iphone 15,GoodREAD MORE,Positive
iphone 15,"Awesome phone, thanks to Flipkart for quick delivery. This is my 1st iOS experience so very excited .READ MORE",Positive
iphone 15,Great phone!Thank you flipkart.READ MORE,Positive
iphone 15,for me its 10 out of 10✨READ MORE,Positive
iphone 15,Beautiful phoneREAD MORE,Positive
iphone 15,Very FabulousREAD MORE,Positive
iphone 15,Very good productREAD MORE,Positive
